Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
,Senator Walter F. Mondale; Rhett Dawson; Frederick Baron,,,Executive session held by the United States Senate Select Committee to study governmental operations with respect; to intelligence activities.,"United States Senate; Russell Office Building, Washington, D.C.; Select Committee to Study Governmental Operations with respect to Intelligence Activities",,"The committee met at 1; 15 p.m. in Room 443, with Senator Mondale presiding.","Document marked ""TOP SECRET""; For file:",1114
"Document creation date; May 4, 1977",Lumumba; Mr. Tweedy,,,Discussion regarding the removal of Lumumba being a prime objective of covert actions by the Agency.,,,,"Document marked as ""TOP SECRET""; For file:",1115
"September 20, 1960 (date mentioned in connection to a cable).",Lumumba; Mr. Tweedy; Mr. Baron,,,Discussion of a fear of counterattack organized by Lumumba.; Mention of a cable as Exhibit 3.; Noted that discussion was off the record.,U.N. (United Nations),,"Cable discussion referring to ""Exhibit 3,"" marked for identification as ""Tweedy Exhibit 3"".","Document marked as ""Top Secret""; For file:",1116
"January 19, 1961",Mr. Tweedy,,,The document references a cable.,None,,None,Top Secret; For file:,1117
,Mr. Baron; Mr. Tweedy; Patrice,,,A cable was sent from the Congo to Leopoldville.; Information was relayed from Elizabethville to Leopoldville.,Leopoldville; Elizabethville; Congo,,Communication involved a cable sent by a base chief.; Mr. Baron and Mr. Tweedy discussed the transmission of the cable.,,1118
,"Mr. Tweedy, Mr. Baron, Lumumba",,,Discussion about a cable indicating whether the CI was knowledgeable of the causes of Lumumba's death.,CI,,The communication appears to be a conversation or inquiry involving Mr. Tweedy and Mr. Baron.,"Top Secret, with some redactions visible.; For file:",1119
November and December of 1960,Mr. Baron; Mr. Tweedy; Arnold Silver,,,An asset was recruited in Europe and sent to the Congo to perform some mission in November and December of 1960.,Europe; Congo,,"Conversation between Mr. Tweedy, Mr. Baron, and Mr. Wides is mentioned.",,1120
"December 17, 1960",Mr. Tweedy; Mr. Baron; Agent QJWIN,,,Discussion about someone never being considered for an assassination mission.,Headquarters; Leopoldville,,Cable to headquarters marked to Director from Leopoldville dealing with WIROGUE regarding an approach to agent; QJWIN.,Top Secret; For file:,1121
Hearing concluded at 3; 55 p.m.,Mr. Tweedy,,,,Agency,,,,1122
"May 13, 1961",Mr. Schwarz; Mr. Richard Goodwin; Mr. Goodwin,,,Discussion of a document related to CIA Covert Activities in the Dominican Republic.; The document was marked as Goodwin Exhibit No. 1.,CIA; Dominican Republic; White House,,Mr. Richard Goodwin at the White House requested the briefing paper.; Discussion involving Mr. Schwarz and Mr. Goodwin.,"Document classified as ""TOP SECRET""; For file:",1123
"Late January (mentioned in the context of weapons passage); June 1, 1961 (date referred to in a memorandum)",Mr. Schwarz,,,Discussion of weapons passed after late January.; Authorization of weapons not until the 12th.; Reference to a memorandum to be marked as Goodwin Exhibit 2.,Kennedy Administration,,"Mr. Schwarz and Mr. Goodwin's dialogue about events.; Communication to President Johnson, referred as discussions during Vice Presidency.",Top Secret; For file:,1124
,Mr. Schwarz,,,"Reference to a telegram in handwriting, slightly revised.; Document referred to as Exhibit 3.",,,Mention of marking a document as Exhibit No. 3-A for identification.,,1125
,The President,,,Discussion on the risk of U.S. association with political assassinations.; Instruction by the President for a stronger statement regarding the policy on assassinations.,United States; State Department,,,"Document marked as ""Top Secret""; Mention of Exhibit No. 3-a for identification.; For file:",1126
"Thursday, October 10, 1975",Senator Schweiker (presiding); Frederick Baron; Rhett Dawson,,,Committee meeting occurred at 11; 25 a.m.,United States Senate,,Meeting presided by Senator Schweiker,"Document marked as ""Top Secret""; For file:",1127
August 26th; September 19th,Mr. Baron; Richard Bissell; Mr. Tweedy; Allen Dulles; Fyes Only; Guthman; Jadwin,,,Discussion about the authority for actions related to Lumumba.; A cable dispatched by Allen Dulles to the Congo.; A subsequent cable from Mr. Tweedy to Leopoldville.,Congo; Leopoldville,,"Conversations involving Mr. Baron, Richard Bissell, and Mr. Tweedy.; A cable sent by Allen Dulles and a cable from Mr. Tweedy.; Exhibit marked as Tweedy Exhibit No. 2 for identification.","Document marked as ""Top Secret.""; For file:",1128
,Mr. Gottlieb; Mr. Tweedy; Mr. Baron; Lumumba,,,Discussion on eliminating Lumumba.; Examination of cable traffic related to the matter.; Instructions from the Chief of Station in Leopoldville to explore options.,Chief of Station; Leopoldville; Congo,,Cables discussed between Mr. Tweedy and Mr. Baron.,"Document marked as ""Top Secret""; Some names and sections are redacted.; For file:",1129
"September 22, 1960",Bronson Tweedy; Chief of Station,,,A cable was sent from Bronson Tweedy to the Chief of Station,Not mentioned,,Cable from Bronson Tweedy to the Chief of Station,Top Secret; For file:,1130
September 30th,Mr. Baron; Mr. Tweedy; Lumumba; Jadwin,,,Discussion regarding a cable from the Chief of Station.; Reference to potential poisoning of Lumumbas food.,Chief of Station,,Cable from the Chief of Station to Jadwin,"Document is marked ""Top Secret""",1131
30 September 1960,Mr. Tweedy; Mr. Baron; Gian Fields,,,"Discussion about approaching ""[redacted]"" as a potential assassination asset.",The Chief of Station,,"A cable signed by Gian Fields to the Chief of Station through the ""PROP"" channel.",Top Secret; Redacted names and information; For file:; ```plaintext,1132
,Mr. Tweedy,,,,,,,"Document marked ""Top Secret""; ```; For file:",1133
,Allen W. Dulles; Robert Gutmann; Ascham,,,Concern about the leadership in the Congo.; Discussion on removal as a high priority of covert action.,Leopoldville; Reference to the Congo,,Message from Ascham to Robert Gutmann,"Marked as ""Secret""; For file:",1134
,,,,,,,,Classification; SECRET; For file:,1135
22 September 1960,GUTHMAN; RYBAT TOPROP,,,Assessment for more active role.; Examination of background discussed.,Leopoldville; CI and WI,,Memo directed to/from Leopoldville.,"Classified as ""SECRET""; Several sections redacted.; For file:",1136
"Page date; September 2, 1975 (9 SEPT 2, 1975); Reference date within the document; 1959",Hector Georges Massianga; Gusman (potential misspelling or variation); Bolikango; Captain (unspecified),,,"Massianga reportedly in contact with a small group of troops, discussing financial encouragement and the possibility; of activities in the Kitona area.; Mention of a plan to possibly launch an operation through a subject identified, and arrangements being proposed or; discussed.",CIA; Mention of Kitona area,,,"Marked ""SECRET"" and includes redacted sections.; For file:",1137
"Sep 30 [year unclear]; Sep 22, 1965",Jacwin; Guthman; Rybat,,,Discussion on the need to choose between canceling an operation or accepting calculated risks due to asset; availability.; Consideration of exploratory conversations to determine willingness to take a role as an active agent.,CIA; Leopoldville,,Communication from Guthman to Jacwin.,"Document marked as ""SECRET""; Several redacted sections and codes.",1138
30 September 1960,Eyes Only Cuthank; Schorroth; Rydat,,,Authorized exploratory talks with Schorroth to assess his attitude towards being a possible active agent or cut-out.; Mention of weighing the initial assessment and specific approaches.,CIA; Leopoldsville,,CS Comment urged authorization for talks to determine Schorroth's role.; Discussion on contacting Schorroth and evaluating his responses.,Secret; Some sections appear to be redacted or obscured.; For file:,1139
"27 OCT 69; Oct 28, 69 (received)",GUTHMAN; HOS,,,,LEOPS (possibly refers to a location or organization?),,Conversation with HOS concerning recommendations.,"Document marked as ""SECRET"".; Several sections redacted.; For file:",1140
17 OCT 67,,,,,,,,SECRET; For file:; ```plaintext,1141
"September 22, 1953 (Date mentioned on document)",None observable,,,,CIA (Mentioned on document),,"Mention of a ""C/S comment,"" suggesting some form of communication or commentary.","Marked as ""SECRET""; ```; For file:",1142
(No specific dates mentioned),Mr. Davis; Senator Hart; Mr. Aaron; Mr. Maxwell; Mr. Bader; Senator Huddleston; Mr. Bush,,,Discussion about establishing a board of senior advisors.; Mention of abolishing and potentially reconstituting this board.,Board of national estimates,,"Dialogue between Mr. Davis, Senator Hart, Mr. Aaron, Mr. Maxwell, Mr. Bader, Senator Huddleston, and Mr. Bush.","Document marked ""TOP SECRET""; For file:",1143
,Mr. Aaron; Mr. Micenova; Mr. Quambeck; Mr. Dicenova,,,,,,,Top Secret; For file:,1144
,Mr. Bader; David; Mr. Aaron,,,,DCI (Director of Central Intelligence); CIA,,,"Document marked as ""TOP SECRET""; For file:",1145
,Senator Huddleston; Mr. David,,,Discussion about strengthening the Executive Order.,"Reference to ""the Agency.""",,Dialogue between Senator Huddleston and Mr. David.,"Document marked as ""TOP SECRET.""; For file:",1146
,Mr. Aaron; Senator Hart; Mr. Inderfurth; Mr. Davis,,,Discussion of whether to leave certain information out.; Mention of reorganization steps and charging a new deputy with more authority.; Discussion of actions separating from the structure of an agency.,,,"Conversation between Mr. Aaron, Senator Hart, Mr. Inderfurth, and Mr. Davis.","Document marked as ""TOP SECRET.""; For file:",1147
,Senator Mathias; Mr. Aaron; Mr. Bader; Mr. Ouambeck; Mr. Bush; Senator Huddleston; Senator Hart,,,Discussion of responsibilities and reorganization concerning certain roles.; Senator Huddleston mentions going to a narrative paragraph.; Senator Hart inquires about writing something up and bringing it back.,DCI (Director of Central Intelligence); CIA (Central Intelligence Agency),,Several senators and individuals discussing responsibilities and order changes.; Interaction and questioning among senators and others present.,"Document is marked as ""TOP SECRET"" indicating a high level of classification.; For file:",1148
,Senator Mathias; Mr. Aaron; Senator Huddleston,,,Discussion regarding the movement of the DCI and national intelligence responsibilities.,Central Intelligence Agency (CIA); NSA (National Security Agency); Mention of USA,,Conversational exchange between senators and a national intelligence officer.,"Document marked as ""TOP SECRET""; For file:",1149
,Mr. Aaron; Mr. Kirbow; Mr. Maxwell,,,,Central Intelligence Agency,,,,1150
,"Mr. Allen (likely ""Mr. Aaron"" due to the context); Mr. Digenova; Mr. Bader; Bill (contextual reference); A professor (unnamed)",,,Instances of immigrants wishing for citizenship and being approached by intelligence agencies.; Coercion related to citizenship processes and intelligence handling.; Testimony related to Chinese immigrants approached for specific operations.; Testimony regarding a professor acting as a middleman in recruiting Russian Jewish immigrants.,Intelligence agencies (unnamed); University in the Southwest; United States (general reference),,A professor provided testimony about involvement in recruitment operations.; Mr. Digenova and Mr. Bader are engaged in gaining more information through questioning.,"Document marked as ""TOP SECRET"".; For file:",1151
,Mr. Kirbow; Mr. Aaron; Senator Huddleston; Attorney General,,,Discussion about questionable reporting related to foreign resources division and CHOAS programs.; Mention of efforts to stay clear of certain activities and the idea of recruiting on a clandestine basis.; Reference to the need for reviewing and recommending actions to the Attorney General.,FBI (mentioned as being clear of certain activities); CHOAS; Foreign resources division,,"Dialogue between Mr. Kirbow, Mr. Aaron, and Senator Huddleston regarding foreign resources and internal reviews.; Mention of Attorney General involvement in recommendations based on reports and testimonies.","Document marked as ""TOP SECRET""; For file:; ```plaintext",1152
,John Eliff; Mr. Dicennova,,,Discussion on the approval and control of counter-intelligence activities by the CIA within the United States.; Mention of a procedure involving the NSAs potential oversight of FBI and CIA activities.,NSA; CIA; FBI; United States,,Conversation regarding the disagreement over the necessity of a paragraph involving counter-intelligence procedure.; Reference to communication between Mr. Dicennova and John Eliff.,"Document marked as ""TOP SECRET""; ```; For file:",1153
,Mr. Miller; Mr. Bader; Mr. Arsenov; Mr. Aaron; Mr. Kirbow,,,Discussion about whether the Secretary of Defense or a designee should attend meetings.; Practical considerations if the Secretary of State doesn't attend.,Secretary of Defense; Secretary of State,,"Dialogue between Mr. Miller, Mr. Bader, Mr. Arsenov, Mr. Aaron, and Mr. Kirbow regarding attendance at meetings.","Document marked as ""TOP SECRET""; For file:",1154
From about 1947 through the '60s.,Mr. Kirbow; Senator Huddleston,,,Discussion of clandestine operations being a way of life in the CIA during the specified timeframe.; Mention of changing favor of such operations at the CIA.,CIA,,Discussion between Mr. Kirbow and Senator Huddleston.,"Document marked as ""TOP SECRET.""; For file:; ```markdown",1155
,Senator Huddleston; Mr. Aaron; Mr. Schlesinger,,,Discussion on decision-making and promotions within a specific organization.; Moving of responsibilities to the directorate of operations in 1972.,CIA; Directorate of operations; Clandestine Services,,"Dialogue involving Senator Huddleston, Mr. Aaron, and references to Mr. Schlesinger.","Document marked as ""Top Secret""; ```; For file:",1156
"Nov 25, 27, and 28 (year not specified)",Mr. Aaron; Senator Huddleston; Mr. Kirbow; Mr. Inderfurth,,,Discussion about drafting a charter and making recommendations.; Mention of getting testimonies on Nov 27 and 28.,CIA; Reference to the British intelligence model,,"Discussion among Mr. Aaron, Senator Huddleston, Mr. Kirbow, Mr. Inderfurth, and Mr. diGenova regarding the; organization and recommendations.","Document marked as ""TOP SECRET.""; For file:",1157
,Mr. Miller; Mr. Kirbow; Mr. Digenova; Mr. Inderfurth; Mr. Aaron; Mr. Snider; Senator Hart,,,Discussion about recommendations and consolidation of military intelligence services.; Mention of counter-espionage operations involving global personnel.,,,Conversations among individuals regarding intelligence activities and consolidation.,"The document is marked as ""TOP SECRET.""; For file:",1158
,Mr. Bader; Mr. DiGenova; Mr. Aaron; Senator Mathias; Mr. Miller; Mr. Kilbov,,,"Discussion about releasing covert action papers, specifically related to Indonesia and possibly Chile.; Mention of a paramilitary paper on Laos under review for release.","Reference to an ""Agency.""; Locations mentioned; Indonesia, Chile, Laos, Greece.",,"Dialogue among Mr. Bader, Mr. DiGenova, Mr. Aaron, Senator Mathias, Mr. Miller, and Mr. Kilbov regarding covert; papers.","Documents are marked ""TOP SECRET.""; Mention of ""classified"" records related to Indonesia, Greece, and other covert actions.; For file:",1159
1964 (top margin),Senator Huddleston; Mr. Fader; Mr. Aaron; Senator Mathias; Mr. Dickson,,,Discussion on the result of the Indonesian operation in 1957.; Sumatra rebels' failure supported by both parties.; Mention of an event involving someone being shot down.; Discussions about document editing and language use.,No specific organizations or locations mentioned.,,Conversations between Senators and Mr. Aaron.,TOP SECRET (at the bottom of the page).; For file:; ```plaintext,1160
,Mr. Underfurth; Mr. Kirbow; Mr. Aaron; Mr. Dader; Mr. Maxwell,,,"Discussion on revising the 1947 Act relating to the CIAs charter, especially regarding covert operations.; Committee recommendations on authorizing covert and counter-intelligence actions.",CIA; Executive Branch,,"Dialogues among Mr. Underfurth, Mr. Kirbow, Mr. Aaron, Mr. Dader, and Mr. Maxwell.; Discussions about legislative recommendations for CIA operations.","Document marked as ""TOP SECRET""; ```; For file:",1161
,Mr. Underfurth; Cyrus Vance; Senator Mathias; George Cannon; Ms. Culbreth; Mr. Kirbow,,,,The Republic of Venice; Soviet Union,,Reference to George Cannon's testimony.,"Document marked as ""TOP SECRET""; For file:",1162
,,,,,,,,Agency File Number; 07-M-39; For file:,1163
,Mr. Dulles; Mr. Bundy; Mr. Dungan; Francis Gary Powers,,,Discussion about the sensitivity and authorization of certain NSC paper activities.; Mr. Bundy requests Mr. Dungan to assist in preparing a briefing for higher authority.,NSC (National Security Council); Special Group; Reference to Vietnam for a B-26 flight.,,Mention of preparation for a briefing involving higher authority.; Discussion involving Cabinet personnel on a specific flight approval.,For file:; ```plaintext,1164
,Allen Dulles; Secretary of State; Director of Central Intelligence; McCarthyite attacks,,,"CIA conducting clandestine intelligence collection, covert political operations, and paramilitary activities.; Tension and lack of cooperation between the CIA and the State Department.; CIA's autonomy growing over time.; State Department's realization of the evolving autonomy of the CIA.",CIA; State Department; Allen Building,,Interaction between the CIA and State Department.; Relations described as tense regarding supervision and autonomy.,"Document classified as ""SECRET.""; ```; For file:",1165
,,,,Attempt by the CIA to subvert a member of the Special Branch of Singapore Police.,CIA; State Department; Special Branch of the Singapore Police,,,"Document marked as ""SECRET""; For file:",1166
October 1960 (Foreign Service List); Day of President Kennedy's Inauguration,President Kennedy,,,"On the day of President Kennedy's Inauguration, 47% of political officers in US Embassies were CAS.; Sometimes the CIA mission chief has direct access to the local Prime Minister and may pursue different policies from; the Ambassador.",American Embassy in Vienna; Embassy in Chile; CAS (likely refers to CIA); Paris Embassy; United States Embassies,,CIA personnel often have more influence and direct access to local political figures than the Ambassadors.,[No specific classifications or redactions noted in the text provided.]; For file:,1167
1947,Mr. Dulles,,,,Secret Intelligence Service; Foreign Office Research Department; For file:,,,,1168
,,,,,CIA; State Department's Bureau of Intelligence and Research; Foreign Office in Great Britain; United States,,,,1169
,,,,,,,,Secret; For file:,1170
,,,,,"Agencies; STATE/INR, DIA, ARMY/ACSI, NAVY, AIR, JCS, SECDEF, NSA, NIC, AID, USIA, OCI, ONE, OCR, ORR, OBI, OO, EXO",,,Classification; CONFIDENTIAL; Dissemination Controls; NO FOREIGN DISSEM; Group 1; Excluded from automatic downgrading and declassification; For file:,1171
,,,,,,,,Classification; Confidential,1172
,,,,,,,,Classification level; SECRET; Dissemination controls; NO FOREIGN DISSEM / BACKGROUND USE ONLY / NO DISSEM ABROAD; For file:,1173
"Sanitized MK-04197, 7-2-6",Gregory,,,,Information Report; Villa in Dalat,,,Confidential; NO FOREIGN DISSEM; Group I (Excluded from automatic downgrading and declassification); For file:,1174
,,,,,,,,Classification; CONFIDENTIAL; Dissemination Controls; NO FOREIGN DISSEM; For file:,1175
,Dapcevic,,,United States announced willingness to sell wheat to the Soviet Union.,United States; Soviet Union,,,Document is classified as 'SECRET'; Marked 'NO FOREIGN DISSEM'; For file:,1176
,Chau; Major General Duong Van Minh; Brigadier General Mai Huu Xuan,,,A coup was allegedly being planned by a group of senior ARVN officers.,ARVN (Army of the Republic of Vietnam); Quang Trung Training Center,,,Secret; NOFORN (No Foreign Dissemination); Redacted sections present; For file:,1177
"Document received on November 16, 1961, at 3; 50 a.m.; Document number 669 dated November 16.",Secretary of State.,,,,From; Saigon; Department of State,,,"Classified as ""SECRET""; Notation; ""SANITIZED VERSION""; For file:",1178
,,,,Delineation of functions regarding public safety services.; Adoption of a realistic training program related to commodity procurement.; Development of an effective public safety service.,USOM (United States Operations Mission).,,,"Document is marked as ""SECRET"".; For file:",1179
,,,,,,,,SECRET; For file:,1180
1/14/15,"Jennifer Caddisack; James Martin, Spec. Access, NARA",,,,NARA (National Archives and Records Administration); LBJ Library,,Routing memo from Jennifer Caddisack to James Martin,Top Secret (Security Classification); Control No. CSC-NJ-082/73 BJ; Handle via COMINT Channels; For file:,1181
,,,,,"U.A.R (Egypt); French Somaliland; Saudi Arabia; Iraq; Kuwait; Ethiopia; Yemen; Neutral Zone; Aden Protectorate; Cities; Cairo, Aswan, Riyadh, Jiddah, Medina, Mecca, Abha, Taizz, Aden, Maidi, Al Batnah",,,Unclassified; For file:,1182
"1/14/15 (January 14, 2015)","James Mathis, Spec. Access NARA; Jennifer Giddeback, LBJ Library",,,,,,Routing from Jennifer Giddeback to James Mathis,Top Secret (Security Classification); Control No. [C5C-NL5-084/93B]; For file:,1183
1/14/15,"James Mathis, Spec. Access, NARA; Jennifer Gildebee, LDA Library",,,,,,,Top Secret (Security Classification); Control No. LSC-NSJ-085/93B3; Copy 2 of ___; For file:; I can't assist with analyzing the image or extracting specific details from it.; For file:,1184
,General Lemnitzer; Mr. McCone,,,Discussion about the feasibility of low-level photography of critical Cuban targets.; Proposal made by Mr. McCone to General Lemnitzer.,U.S. military; Caribbean area,,Mr. McCone called General Lemnitzer.,For file:,1185
,Mr. Bundy,,,Discussion about the introduction of biological agents appearing to be of natural origin.; Mention of sabotage appearing as the result of local Cuban disaffection or a natural disaster.; Emphasis on avoiding external activities like releasing chemicals unless they could be completely covered up.,Reference to Cuban disaffection.,,,For file:,1186
,,,,,,,,"""TOP SECRET""; Additional classification terms; ""DINAR,"" ""CHESS,"" ""RUFF,"" ""IDEALIST""; For file:",1187
"January 2, 1979; Revised August 1, 1977",Louis Stokes (Chairman),,,,Committee on Appropriations; Committee on the Budget; Joint Committees; Committee on House Administration; Office of Finance,,,For file:,1188
"October 10, 1978",Louis Stokes,,,,,,,For file:,1189
Released under the John F. Kennedy Assassination Records Collection Act of 1992.; Date; 2025.,,,,,,,,For file:,1190
"Date; April 11, 1977","Louis Stokes; Chairman, Committee on House Administration",,,,House Classification Act; Committee on Appropriations; Committee on the Budget; Joint Committees; Committee on House Administration; For file:,,,,1191
,,,,,,,,For file:; ```plaintext,1192
"December 30, 1976","Thomas N. Downing, Chairman",,,,Select Committee on Assassinations,,,"Reference to ""5 U.S.C. 3110(b)"" regarding employment prohibitions; ```; For file:",1193
October 1975; September 1976 to November 1976; November 1976 to present,,,,,"District of Columbia bar; Law firm of William A. Dobrovir, 2005 L St. NW, Washington D.C., 20036; Re-election campaign of Representative Stewart B. McKinney (R-Conn.), Fairfield, Conn.",,,For file:,1194
Date; 2-28-77,Henry B. Gonzalez,,,,Committee on Appropriations; Committee on the Budget; Joint Committees; Committee on House Administration; For file:,,,,1195
,,,,,,,,For file:,1196
Received Date; 4/29/77; Abstracted Date; 4/27/77; Acknowledged Date; 4/27/77,Jackson (Secretary); Don (handwritten notation),,,,,,,For file:,1197
,,,,,,,,For file:,1198
John F. Kennedy Assassination Records Collection Act of 1992; Date; 2025,John F. Kennedy,,,,N/A,,,Released under the John F. Kennedy Assassination Records Collection Act; For file:,1199
,Louis Stokes,,,,Congress,,,For file:; I can't extract any relevant information from the image provided.; For file:,1200
"February 3, 1977; Reference to the 1977 inauguration",Lillian Johnson; Jimmy Carter,,,,"The White House, Washington; Landover, Maryland",,A letter from Jimmy Carter to Lillian Johnson expressing appreciation for her work on the inauguration,For file:; ```markdown,1201
1977 Inauguration,Jimmy Carter,,,Assistance with the 1977 Inauguration,None,,None,None; ```; For file:,1202
,,,,,U.S. Civil Service Commission; For file:,,,,1203
Released under the John F. Kennedy Assassination Records Collection Act of 1992; Date; 2025,,,,,,,,For file:,1204
,,,,,HSCA (House Select Committee on Assassinations); For file:; ```plaintext,,,,1205
1/10/77,[Signature]; Elizabeth A. Kieher,,,,,,,```; For file:,1206
Date; 2025; Reference,John F. Kennedy,,,,Reference; 44 USC 2107 Note,,,,1207
"November 15, 1977",Louis Stokes,,,"Authorization related to employment certification not violating 5 U.S.C. 3110(b), regarding the employment of; relatives.","Special or Select Committee, 95th Congress; Committee on House Administration",,Signature and approval involving Louis Stokes as Chairman.,For file:,1208
JFK Assassination Records Collection Act of 1992; Date; 2025,,,,,John F. Kennedy Assassination Records Collection,,,44 USC 2107 Note; Case; NW 88326; For file:,1209
,,,,,"U.S. House of Representatives, Washington, D.C. 20515; For file:",,,,1210
Effective Date; 7/17/77,Robert J. Lehner,,,,U.S. House of Representatives; Employing Office or Committee; Assassinations,,,For file:,1211
"May 10, 1977",Louis Stokes,,,Approval and certification of authorization for employment not in violation of 5 U.S.C. 3110(b).,"Special or Select Committee, 95th Congress",,"Authorization signed by Louis Stokes, Chairman",,1212
Effective Date; 2-1-77,Robert J. Lehner,,,,U.S. House of Representatives; Select Committee on Assassinations,,,,1213
1992 (John F. Kennedy Assassination Records Collection Act); 2025 (Document Date),,,,,John F. Kennedy Assassination Records Collection,,,For file:,1214
,,,,,House of Representatives; For file:,,,,1215
"October 14, 1977; Effective October 1, 1977",G. Robert Blakey; Michael C. Eberhardt; Marjorie A. Eagle; I. Charles Mathews,,,Authorization to increase salaries of employees,,,,For file:,1216
Effective Date; 1/3/77,Rita L. Norton,,,,Select Committee on Assassinations,,,,1217
1992; 2025,,,,,John F. Kennedy Assassination Records Collection,,,Released under the John F. Kennedy Assassination Records Collection Act (44 U.S.C. 2107 Note); Case; NW 88326; For file:,1218
,,,,,John F. Kennedy Assassination Records Collection,,,Reference to the John F. Kennedy Assassination Records Collection Act of 1992 (44 USC 2107); For file:,1219
1992; 2025,John F. Kennedy,,,,John F. Kennedy Assassination Records Collection Act,,,For file:,1220
Released under the John F. Kennedy Assassination Records Collection Act of 1992.; Case; NW 88326; Date; 2025; For file:,,,,,,,,,1221
"Revised; August 1, 1977",,,,,,,,For file:,1222
,,,,,U.S. House of Representatives; For file:,,,,1223
Effective Date,Employee Name; S. Jonathan Blackmer,,,Salary Adjustment,"U.S. House of Representatives, Washington, D.C. 20515; Employing Office or Committee; Assassinations",,,For file:,1224
,,,,,Agency; HSCA; For file:,,,,1225
"August 19, 1977; September 15, 1977; September 15th","Tom Howarth, Budget Officer; G. Robert Blakey, Chief Counsel and Director; Colleen Boland; Kevin Walsh",,,,Select Committee,,Memorandum from G. Robert Blakey to Tom Howarth regarding employment status of Colleen Boland and Kevin; Walsh.,For file:,1226
1992 (John F. Kennedy Assassination Records Collection Act); 2025 (Document Note Date),John F. Kennedy,,,,,,,,1227
,,,,,,,,,1228
"January 10, 1977",,,,,,,,,1229
"June 27, 1977",Tom Howarth - Budget Officer; Donovan L. Gaymer - Chief Researcher; Judith Burford - Document Clerk; Chairman Stokes; Mr. Blakey,,,"Judith Burford is appointed as a member of the Research/Document Unit as of June 27, 1977.; She receives approval from Chairman Stokes and authorization from Mr. Blakey.",King Research Team,,Memorandum sent from Donovan L. Gaymer to Tom Howarth regarding Judith Burford's appointment.,For file:,1230
,,,,,,,,Item is restricted.; For file:,1231
"December 26, 1977",Louis Stokes (Chairman),,,,Committee on House Administration; Committee on Appropriations; Committee on the Budget; Joint Committees,,,For file:,1232
Board Review Completed; 10/24/05,,,,,,,,For file:,1233
1992; 2107; 2025,,,,,John F. Kennedy Assassination Records Collection Act; 44 USC,,,For file:,1234
Released under the John F. Kennedy Assassination Records Collection Act of 1992; Date; 2025,,,,,John F. Kennedy Assassination Records Collection,,,For file:,1235
,,,,,,,,For file:,1236
"Date; March 14, 1978; Revised; August 1, 1977",Louis Stokes (Chairman),,,Authorization certification related to employment adjustments and approvals.,Committee on House Administration; Committee on Appropriations; Committee on the Budget; Joint Committees,,Approvals must be sanctioned by specific House Committees.,For file:,1237
"May 16, 1977",Chairman Louis Stokes; Tom Lambeth; Caryl M. Emanuel; Jim Wolf; Tiny Hutton,,,"Miss Emanuel has been interviewed by Jim Wolf and Tiny Hutton for a position.; She has experience as a legal secretary, which is deemed essential.; There is an urgency to inform her about the hiring decision, as she has other opportunities.; Proposed salary is $14,000.",Not specified.,,Memo from Tom Lambeth to Chairman Louis Stokes regarding employment matters.,Not specified.; For file:,1238
,,,,,Agency; HSCA (House Select Committee on Assassinations); For file:; ```plaintext,,,,1239
Last day of work mentioned as Sept. 1; Date signed; 9/12,,,,,,,,```; For file:,1240
,"Thomas N. Downing, Chairman",,,Authorization of employment for Deputy Chief Counsel,Select Committee on Assassinations,,Signature of authorizing official noted,For file:,1241
1992; 2107; 2025,,,,,John F. Kennedy Assassination Records Collection Act,,,For file:,1242
"Document Date; June 3, 1977; Resignation Effective Date; June 17, 1977","Mr. Thomas Lambeth, Acting Director, Select Committee on Assassinations; Thomas M. Gannon, S.J.",,,"Resignation of Thomas M. Gannon from the staff of the Select Committee on Assassinations, effective two weeks from; the document date.","Select Committee on Assassinations, U.S. House of Representatives; Washington, D.C.",,Letter from Thomas M. Gannon to Mr. Thomas Lambeth,For file:,1243
,,,,,,,,[R] - ITEM IS RESTRICTED; For file:,1244
"""09.20.0946""; ""1/28/77""","""Kenneth G. Grant""; Reference to ""JFK"" (could indicate John F. Kennedy)",,,"Mention of ""Staff Investigator /JFK"", potentially indicating an investigatory role related to JFK.","""Congress of the United States""; ""Committee on International Relations""; ""House of Representatives""",,No specific communications detailed.,No classification levels or redactions visible.; For file:,1245
"August 1, 1977",Louis Stokes,,,,Committee on House Administration; Committee on Appropriations; Committee on the Budget; Joint Committees,,,Reference to 5 U.S.C. 3110(b); For file:,1246
,Henry B. Gonzalez,,,"Title of ""Chairman"" mentioned.",,,,,1247
Case; NW 88326; Date; 2025; References the John F. Kennedy Assassination Records Collection Act of 1992 (44 USC 2107),,,,,John F. Kennedy Assassination Records Collection,,,For file:,1248
1977,Henry B. Gonzalez; For file:,,,,,,,,1249
,"Thomas Howarth, Budget Officer; G. Robert Blakey, Chief Counsel and Director; Muff Rosen; Alice Hamlin",,,"Muff Rosen is on administrative leave until November 14, 1977, and should remain on the payroll.; Alice Hamlin is also on administrative leave with the same conditions regarding payroll.",Not specified in the document.,,Memo from G. Robert Blakey to Thomas Howarth.,No classification level or redactions noted.; For file:,1250
